img;txt;data;conta;horarios
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1150.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1150.txt;7/9/2021;sobremesas_diarias;6:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2048.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2048.txt;7/10/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1587.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1587.txt;7/10/2021;sobremesas_diarias;3:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\310.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\310.txt;7/10/2021;sobremesas_diarias;6:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\937.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\937.txt;7/11/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\116.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\116.txt;7/11/2021;sobremesas_diarias;3:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1965.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1965.txt;7/11/2021;sobremesas_diarias;6:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\106.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\106.txt;7/12/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\733.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\733.txt;7/12/2021;sobremesas_diarias;3:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2220.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2220.txt;7/12/2021;sobremesas_diarias;6:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1639.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1639.txt;7/13/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1812.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1812.txt;7/13/2021;sobremesas_diarias;3:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\656.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\656.txt;7/13/2021;sobremesas_diarias;6:00 P
